state,year,support,fte,cpi_u_rs,cpi_u_rs_2019_adj,real_support_fte
Illinois,1990,1580900000,357722,197.9,1.902475997978777,8407.714105379731
Indiana,1990,794800000,167999,197.9,1.902475997978777,9000.576927205115
Iowa,1990,495800000,97989,197.9,1.902475997978777,9626.055983813261
Kansas,1990,430200000,102656,197.9,1.902475997978777,7972.696913287775
Kentucky,1990,539700000,108245,197.9,1.902475997978777,9485.577126972572
Louisiana,1990,527500000,120323,197.9,1.902475997978777,8340.517514804358
Maine,1990,169100000,28716,197.9,1.902475997978777,11203.11642492726
Maryland,1990,792200000,155488,197.9,1.902475997978777,9692.976214233815
Massachusetts,1990,681600000,122586,197.9,1.902475997978777,10578.105495100048
Michigan,1990,1408000000,327164,197.9,1.902475997978777,8187.594616626885
Minnesota,1990,902500000,177032,197.9,1.902475997978777,9698.72445758872
Mississippi,1990,385500000,97721,197.9,1.902475997978777,7505.085879399704
Missouri,1990,577300000,146683,197.9,1.902475997978777,7487.571113442921
Montana,1990,109600000,27471,197.9,1.902475997978777,7590.235862490407
Nebraska,1990,293200000,64502,197.9,1.902475997978777,8647.886307515695
Nevada,1990,146600000,28085,197.9,1.902475997978777,9930.674071699794
New Hampshire,1990,69000000,26486,197.9,1.902475997978777,4956.235137828877
New Jersey,1990,1079900000,169482,197.9,1.902475997978777,12122.135862317422
New Mexico,1990,302400000,60707,197.9,1.902475997978777,9476.810611441551
New York,1990,2542100000,430784,197.9,1.902475997978777,11226.703485881206
North Carolina,1990,1351200000,214812,197.9,1.902475997978777,11966.86203968551
North Dakota,1990,131300000,32160,197.9,1.902475997978777,7767.260526573801
Ohio,1990,1371600000,320836,197.9,1.902475997978777,8133.239657730712
Oklahoma,1990,539800000,102878,197.9,1.902475997978777,9982.275546851064
Oregon,1990,378500000,98848,197.9,1.902475997978777,7284.792461506223
Pennsylvania,1990,1178700000,279477,197.9,1.902475997978777,8023.731680308521
Rhode Island,1990,124800000,26668,197.9,1.902475997978777,8903.142513415005
South Carolina,1990,554600000,103083,197.9,1.902475997978777,10235.569283771618
South Dakota,1990,78100000,19108,197.9,1.902475997978777,7775.97736247344
Tennessee,1990,694900000,137078,197.9,1.902475997978777,9644.367228843812
Texas,1990,3144900000,593659,197.9,1.902475997978777,10078.33919142716
Utah,1990,292700000,60769,197.9,1.902475997978777,9163.466975075911
Vermont,1990,56100000,15210,197.9,1.902475997978777,7017.021925483853
Virginia,1990,1041500000,211007,197.9,1.902475997978777,9390.346063850471
Washington,1990,788100000,153569,197.9,1.902475997978777,9763.30726909125
West Virginia,1990,222000000,58766,197.9,1.902475997978777,7186.973276236063
Wisconsin,1990,789600000,188500,197.9,1.902475997978777,7969.204498695185
Wyoming,1990,129600000,21592,197.9,1.902475997978777,11419.085278716631
U.S.,1990,38005600000,7768621,197.9,1.902475997978777,9307.281406672073
Alabama,1989,769300000,147265,188.6,1.996288441145281,10428.44326739595
Alaska,1989,154200000,15063,188.6,1.996288441145281,20436.013916524087
Arizona,1989,516600000,139868,188.6,1.996288441145281,7373.2562751712485
Arkansas,1989,308300000,58586,188.6,1.996288441145281,10505.167214097055
California,1989,5070100000,1047288,188.6,1.996288441145281,9664.373148026798
Colorado,1989,444200000,122837,188.6,1.996288441145281,7218.92691580496
Connecticut,1989,458600000,61260,188.6,1.996288441145281,14944.464236193697
Delaware,1989,105600000,22164,188.6,1.996288441145281,9511.282231769612
Florida,1989,1458300000,324382,188.6,1.996288441145281,8974.565277118223
Georgia,1989,905200000,179849,188.6,1.996288441145281,10047.54153164437
Hawaii,1989,252000000,27906,188.6,1.996288441145281,18027.11557258693
Idaho,1989,150800000,27701,188.6,1.996288441145281,10867.488427302565
Illinois,1989,1307600000,349643,188.6,1.996288441145281,7465.748679772138
Indiana,1989,736800000,161211,188.6,1.996288441145281,9123.852115772763
Iowa,1989,452900000,96600,188.6,1.996288441145281,9359.41030015215
Kansas,1989,383400000,98843,188.6,1.996288441145281,7743.360565089089
Kentucky,1989,510400000,101157,188.6,1.996288441145281,10072.517179834826
Louisiana,1989,483000000,120034,188.6,1.996288441145281,8032.785019854131
Maine,1989,157500000,27800,188.6,1.996288441145281,11309.907535265533
Maryland,1989,676500000,153055,188.6,1.996288441145281,8823.554476722633
Massachusetts,1989,695500000,124045,188.6,1.996288441145281,11192.862354923962
Michigan,1989,1333900000,324999,188.6,1.996288441145281,8193.40721554125
Minnesota,1989,839800000,169423,188.6,1.996288441145281,9895.250543750299
Mississippi,1989,380100000,84499,188.6,1.996288441145281,8979.860548400826
Missouri,1989,534400000,138906,188.6,1.996288441145281,7680.132916850519
Montana,1989,105300000,26585,188.6,1.996288441145281,7907.059351235588
Nebraska,1989,253600000,62403,188.6,1.996288441145281,8112.730937205635
Nevada,1989,121900000,25734,188.6,1.996288441145281,9456.26645587976
New Hampshire,1989,72400000,24590,188.6,1.996288441145281,5877.644698614004
New Jersey,1989,1055000000,161135,188.6,1.996288441145281,13070.309401484914
New Mexico,1989,282100000,59249,188.6,1.996288441145281,9504.851883526875
New York,1989,2587300000,419894,188.6,1.996288441145281,12300.716570789737
North Carolina,1989,1269100000,205167,188.6,1.996288441145281,12348.426699505651
